candidate,experienced
Theresa Greenfield,1
Joni K. Ernst,1
Cal Cunningham,1
Thom Tillis,1
Gary C. Peters,1
John James,0
Mark Kelly,0
Martha McSally,1
Barbara Bollier,1
Kris W. Kobach,1
Roger Marshall,1
Bob Hamilton,0
Shannon Bray,0
Kevin Hayes,0
Jaime Harrison,1
Lindsey Graham,1
Sarah Riggs Amico,0
David A. Perdue,1
Teresa Tomlinson,1
Jon Ossoff,0
Raphael Warnock,0
Doug Collins,1
Matthew Lieberman,0
Kelly Loeffler,0
Ed Tarver,0
Sara Gideon,1
Susan M. Collins,1
Betsy Sweet,0
Eddie Mauro,0
Shane Hazel,0
Mike Espy,1
Cindy Hyde-Smith,1
Jimmy Edwards,0
John Hickenlooper,1
Cory Gardner,1
Mary Jennings Hegar,0
John Cornyn,1
Royce West,1
Steve Bullock,1
Steve Daines,1
Cory A. Booker,1
Rik Mehta,0
Hirsh Singh,0
Al Bartell,0
Brian Richard Slowinski,0
Abby Broyles,0
James M. Inhofe,1
Wayne Johnson,1
Richard Dien Winfield,0
Jeanne Shaheen,1
Don Bolduc,0
Bill O'Brien,0
Corky Messner,0
Doug Jones,1
Jeff Sessions,1
Tommy Tuberville,0
Bradley Byrne,1
James Mackler,0
Bill Hagerty,0
Manny Sethi,0
Amy McGrath,1
Mitch McConnell,1
Brad Barron,0
Ben Ray Luján,1
Gavin Clarkson,1
Roy S. Moore,1
Arnold Mooney,1
Corey Lewandowski,0
Beto O'Rourke,1
Chris Bell,1
Sema Hernandez,0
Erica Smith,1
Richard J. Durbin,1
WIllie Wilson,0
Edward J. Markey,1
Charles D. Baker,1
Joseph Kennedy III,1
Shannon Liss-Riordan,0
Steve Pemberton,0
Mike Johnston,1
Danielle VanHelsing,0
Barry Grissom,0
Dan Sullivan,1
Forrest Dunbar,1
Bill Schuette,1
Christopher Sununu,1
Kelly Ayotte,1
Ruben Gallego,1
Debbie Stabenow,1
Bill Nelson,1
Rick Scott,1
Kyrsten Sinema,1
Ted Cruz,1
Jacky Rosen,1
Dean Heller,1
Joe Donnelly,1
Mike Braun,1
Claire McCaskill,1
Josh Hawley,1
Jon Tester,1
Matt Rosendale,1
Robert P. Casey Jr.,1
Lou Barletta,1
Neal Taylor Gale,0
Dale R. Kerns,0
Gary Trauner,0
John Barrasso,1
Joseph Porambo,0
Rick Breckenridge,0
Robert Menendez,1
Bob Hugin,0
Dianne Feinstein,1
Kevin de León,1
Amy Klobuchar,1
Jim Newberger,1
Dennis Schuller,0
Paula M. Overby,0
Tina Smith,1
Karin Housley,1
Sarah Wellington,0
Jerry Trooien,0
David Baria,1
Roger F. Wicker,1
Danny Bedwell,0
Shawn R. O'Hara,0
Chris McDaniel,1
Tobey Bartee,0
George E. Huffman,0
Marcia Squier,0
John Howard Wilhelm,0
Sherrod Brown,1
Jim Renacci,1
Angela Green,0
Kirsten E. Gillibrand,1
Chele Farley,0
Martin Heinrich,1
Mick Rich,0
Gary Johnson,1
Tammy Baldwin,1
Leah Vukmir,1
Japheth R. Campbell,0
Al Gross,0
Lisa Savage,0
Max Linn,0
Daniel McCarthy,0
Michael Parrish,0
Charles Booker,1
Mark Ronchetti,0
Willie Wilson,0
Jo Crain,0
Craig O'Dear,0
Neal Dikeman,0
Jason Lewis,1
Paulette E. Jordan,1
James E. Risch,1
Mark R. Warner,1
Daniel M. Gade,1
Chris Coons,1
Lauren Witzke,0
Debbie Stabenow,1
John James,0
Bill Nelson,1
Rick Scott,1
Kyrsten Sinema,1
Martha McSally,1
Beto O'Rourke,1
Ted Cruz,1
Jacky Rosen,1
Dean Heller,1
Joe Donnelly,1
Mike Braun,1
Claire McCaskill,1
Josh Hawley,1
Jon Tester,1
Matt Rosendale,1
Robert P. Casey Jr.,1
Lou Barletta,1
Gary Trauner,0
John Barrasso,1
Robert Menendez,1
Bob Hugin,0
Dianne Feinstein,1
Kevin de Le??n,1
Amy Klobuchar,1
Jim Newberger,1
David Baria,1
Roger F. Wicker,1
Sherrod Brown,1
Jim Renacci,1
Kirsten E. Gillibrand,1
Chele Farley,0
Martin Heinrich,1
Mick Rich,0
Gary Johnson,1
Tammy Baldwin,1
Leah Vukmir,1
Christopher Murphy,1
Matthew Corey,0
Lawrence Zupan,0
Bernard Sanders,1
"Joe Manchin, III",1
Patrick Morrisey,1
Phil Bredesen,1
Marsha Blackburn,1
Heidi Heitkamp,1
Kevin Cramer,1
Zak Ringelstein,0
Eric L. Brakey,1
Angus S. King Jr.,1
Elizabeth Warren,1
Geoff Diehl,1
Jane Raybould,1
Deb Fischer,1
Sheldon Whitehouse,1
Bob Flanders,0
Maria Cantwell,1
Susan Hutchison,0
Jenny Wilson,1
Mitt Romney,1
Benjamin L. Cardin,1
Tony Campbell,0
Thomas R. Carper,1
Rob Arlett,1
Tim Kaine,1
Corey Stewart,1
Tom Cotton,1
Ricky Harrington,0
Ed Markey,1
Kevin O'Connor,1
Tina Smith,1
Jason Lewis,1
Ben Sasse,1
Chris Janicek,0
Jeff Merkley,1
Jo Rae Perkins,1
Jack Reed,1
Allen Waters,0
Mike Rounds,1
Dan Ahlers,1
Shelley Moore Capito,1
Paula Jean Swearengin,1
Cynthia Lummis,1
Merav Ben-David,0
Dick Durbin,1
Mark Curran,1
Bill Hagerty,1
Marquita Bradshaw,0
Dick Durbin,1
Mark Curran,1
Bill Hagerty,1
Marquita Bradshaw,0
Chris Coons,1
Lauren Witzke,0
Robert M. Walsh,1
Tina Smith,1
Karin Housley,1
Mike Espy,1
Cindy Hyde-Smith,1
